country_iso_a3,year,month,n_users
AFG,2022,1,53
AFG,2022,2,30
AFG,2022,3,59
AFG,2022,4,46
AFG,2022,5,53
AFG,2022,6,223
AFG,2022,7,174
AFG,2022,8,155
AFG,2022,9,133
AFG,2022,10,101
AFG,2022,11,51
AFG,2022,12,40
AFG,2023,1,51
AFG,2023,2,32
AFG,2023,3,35
AFG,2023,4,45
AFG,2023,5,45
AFG,2023,6,42
AFG,2023,7,28
AFG,2023,8,29
AGO,2022,1,56
AGO,2022,2,37
AGO,2022,3,60
AGO,2022,4,47
AGO,2022,5,41
AGO,2022,6,57
AGO,2022,7,52
AGO,2022,8,58
AGO,2022,9,47
AGO,2022,10,47
AGO,2022,11,48
AGO,2022,12,144
AGO,2023,1,155
AGO,2023,2,149
AGO,2023,3,79
AGO,2023,4,50
AGO,2023,5,140
AGO,2023,6,76
AGO,2023,7,64
AGO,2023,8,37
AIA,2022,1,2
AIA,2022,2,5
AIA,2022,3,6
AIA,2022,4,4
AIA,2022,5,5
AIA,2022,6,5
AIA,2022,7,5
AIA,2022,8,1
AIA,2022,9,2
AIA,2022,10,2
AIA,2022,11,1
AIA,2022,12,2
AIA,2023,1,2
AIA,2023,3,7
AIA,2023,4,2
AIA,2023,5,3
AIA,2023,6,4
AIA,2023,7,1
AIA,2023,8,1
ALB,2022,1,50
ALB,2022,2,35
ALB,2022,3,42
ALB,2022,4,59
ALB,2022,5,53
ALB,2022,6,76
ALB,2022,7,76
ALB,2022,8,81
ALB,2022,9,76
ALB,2022,10,71
ALB,2022,11,77
ALB,2022,12,58
ALB,2023,1,59
ALB,2023,2,75
ALB,2023,3,61
ALB,2023,4,66
ALB,2023,5,76
ALB,2023,6,91
ALB,2023,7,100
ALB,2023,8,72
AND,2022,1,10
AND,2022,2,11
AND,2022,3,12
AND,2022,4,14
AND,2022,5,20
AND,2022,6,28
AND,2022,7,20
AND,2022,8,25
AND,2022,9,16
AND,2022,10,21
AND,2022,11,15
AND,2022,12,10
AND,2023,1,14
AND,2023,2,15
AND,2023,3,24
AND,2023,4,18
AND,2023,5,19
AND,2023,6,13
AND,2023,7,22
AND,2023,8,15
ARE,2022,1,98
ARE,2022,2,105
ARE,2022,3,113
ARE,2022,4,85
ARE,2022,5,104
ARE,2022,6,129
ARE,2022,7,142
ARE,2022,8,221
ARE,2022,9,159
ARE,2022,10,174
ARE,2022,11,185
ARE,2022,12,162
ARE,2023,1,192
ARE,2023,2,137
ARE,2023,3,138
ARE,2023,4,141
ARE,2023,5,102
ARE,2023,6,114
ARE,2023,7,105
ARE,2023,8,80
ARG,2022,1,304
ARG,2022,2,296
ARG,2022,3,331
ARG,2022,4,349
ARG,2022,5,360
ARG,2022,6,318
ARG,2022,7,332
ARG,2022,8,316
ARG,2022,9,302
ARG,2022,10,354
ARG,2022,11,321
ARG,2022,12,366
ARG,2023,1,403
ARG,2023,2,394
ARG,2023,3,422
ARG,2023,4,358
ARG,2023,5,364
ARG,2023,6,372
ARG,2023,7,380
ARG,2023,8,224
ARM,2022,1,47
ARM,2022,2,43
ARM,2022,3,56
ARM,2022,4,77
ARM,2022,5,96
ARM,2022,6,91
ARM,2022,7,101
ARM,2022,8,80
ARM,2022,9,69
ARM,2022,10,88
ARM,2022,11,65
ARM,2022,12,71
ARM,2023,1,88
ARM,2023,2,64
ARM,2023,3,72
ARM,2023,4,86
ARM,2023,5,81
ARM,2023,6,73
ARM,2023,7,118
ARM,2023,8,75
ATG,2022,1,6
ATG,2022,2,14
ATG,2022,3,6
ATG,2022,4,5
ATG,2022,5,5
ATG,2022,6,3
ATG,2022,7,3
ATG,2022,8,2
ATG,2022,9,4
ATG,2022,10,5
ATG,2022,11,6
ATG,2022,12,5
ATG,2023,1,7
ATG,2023,2,5
ATG,2023,3,8
ATG,2023,4,3
ATG,2023,5,5
ATG,2023,6,8
ATG,2023,7,6
ATG,2023,8,7
AUS,2022,1,721
AUS,2022,2,641
AUS,2022,3,660
AUS,2022,4,612
AUS,2022,5,720
AUS,2022,6,679
AUS,2022,7,680
AUS,2022,8,789
AUS,2022,9,709
AUS,2022,10,796
AUS,2022,11,765
AUS,2022,12,757
AUS,2023,1,886
AUS,2023,2,700
AUS,2023,3,708
AUS,2023,4,730
AUS,2023,5,707
AUS,2023,6,689
AUS,2023,7,789
AUS,2023,8,590
AUT,2022,1,918
AUT,2022,2,854
AUT,2022,3,914
AUT,2022,4,856
AUT,2022,5,962
AUT,2022,6,1057
AUT,2022,7,1142
AUT,2022,8,1301
AUT,2022,9,1088
AUT,2022,10,1108
AUT,2022,11,961
AUT,2022,12,848
AUT,2023,1,999
AUT,2023,2,896
AUT,2023,3,958
AUT,2023,4,999
AUT,2023,5,1040
AUT,2023,6,1092
AUT,2023,7,1245
AUT,2023,8,994
AZE,2022,1,56
AZE,2022,2,65
AZE,2022,3,72
AZE,2022,4,83
AZE,2022,5,81
AZE,2022,6,85
AZE,2022,7,73
AZE,2022,8,89
AZE,2022,9,91
AZE,2022,10,69
AZE,2022,11,65
AZE,2022,12,77
AZE,2023,1,95
AZE,2023,2,101
AZE,2023,3,74
AZE,2023,4,67
AZE,2023,5,80
AZE,2023,6,79
AZE,2023,7,84
AZE,2023,8,52
BDI,2022,1,39
BDI,2022,2,61
BDI,2022,3,69
BDI,2022,4,64
BDI,2022,5,76
BDI,2022,6,90
BDI,2022,7,59
BDI,2022,8,31
BDI,2022,9,21
BDI,2022,10,27
BDI,2022,11,20
BDI,2022,12,20
BDI,2023,1,22
BDI,2023,2,20
BDI,2023,3,23
BDI,2023,4,20
BDI,2023,5,22
BDI,2023,6,17
BDI,2023,7,11
BDI,2023,8,6
BEL,2022,1,745
BEL,2022,2,623
BEL,2022,3,800
BEL,2022,4,768
BEL,2022,5,783
BEL,2022,6,741
BEL,2022,7,742
BEL,2022,8,841
BEL,2022,9,691
BEL,2022,10,775
BEL,2022,11,760
BEL,2022,12,695
BEL,2023,1,745
BEL,2023,2,781
BEL,2023,3,794
BEL,2023,4,856
BEL,2023,5,812
BEL,2023,6,796
BEL,2023,7,833
BEL,2023,8,626
BEN,2022,1,62
BEN,2022,2,42
BEN,2022,3,66
BEN,2022,4,44
BEN,2022,5,41
BEN,2022,6,45
BEN,2022,7,28
BEN,2022,8,18
BEN,2022,9,37
BEN,2022,10,34
BEN,2022,11,35
BEN,2022,12,31
BEN,2023,1,44
BEN,2023,2,38
BEN,2023,3,43
BEN,2023,4,96
BEN,2023,5,39
BEN,2023,6,113
BEN,2023,7,53
BEN,2023,8,28
BFA,2022,1,91
BFA,2022,2,52
BFA,2022,3,55
BFA,2022,4,36
BFA,2022,5,68
BFA,2022,6,127
BFA,2022,7,56
BFA,2022,8,57
BFA,2022,9,47
BFA,2022,10,69
BFA,2022,11,39
BFA,2022,12,32
BFA,2023,1,48
BFA,2023,2,42
BFA,2023,3,36
BFA,2023,4,52
BFA,2023,5,59
BFA,2023,6,54
BFA,2023,7,60
BFA,2023,8,46
BGD,2022,1,191
BGD,2022,2,230
BGD,2022,3,239
BGD,2022,4,314
BGD,2022,5,279
BGD,2022,6,1024
BGD,2022,7,1542
BGD,2022,8,1025
BGD,2022,9,832
BGD,2022,10,525
BGD,2022,11,244
BGD,2022,12,188
BGD,2023,1,267
BGD,2023,2,215
BGD,2023,3,234
BGD,2023,4,185
BGD,2023,5,195
BGD,2023,6,183
BGD,2023,7,203
BGD,2023,8,96
BGR,2022,1,144
BGR,2022,2,125
BGR,2022,3,144
BGR,2022,4,149
BGR,2022,5,158
BGR,2022,6,162
BGR,2022,7,168
BGR,2022,8,187
BGR,2022,9,160
BGR,2022,10,164
BGR,2022,11,151
BGR,2022,12,150
BGR,2023,1,151
BGR,2023,2,145
BGR,2023,3,174
BGR,2023,4,170
BGR,2023,5,178
BGR,2023,6,183
BGR,2023,7,211
BGR,2023,8,161
BHR,2022,1,17
BHR,2022,2,14
BHR,2022,3,45
BHR,2022,4,42
BHR,2022,5,22
BHR,2022,6,26
BHR,2022,7,27
BHR,2022,8,17
BHR,2022,9,17
BHR,2022,10,13
BHR,2022,11,16
BHR,2022,12,28
BHR,2023,1,29
BHR,2023,2,19
BHR,2023,3,17
BHR,2023,4,23
BHR,2023,5,24
BHR,2023,6,35
BHR,2023,7,29
BHR,2023,8,28
BHS,2022,1,17
BHS,2022,2,30
BHS,2022,3,21
BHS,2022,4,20
BHS,2022,5,21
BHS,2022,6,9
BHS,2022,7,14
BHS,2022,8,19
BHS,2022,9,23
BHS,2022,10,10
BHS,2022,11,19
BHS,2022,12,19
BHS,2023,1,32
BHS,2023,2,18
BHS,2023,3,31
BHS,2023,4,18
BHS,2023,5,14
BHS,2023,6,22
BHS,2023,7,11
BHS,2023,8,8
BIH,2022,1,107
BIH,2022,2,77
BIH,2022,3,85
BIH,2022,4,78
BIH,2022,5,89
BIH,2022,6,97
BIH,2022,7,103
BIH,2022,8,129
BIH,2022,9,101
BIH,2022,10,88
BIH,2022,11,99
BIH,2022,12,82
BIH,2023,1,85
BIH,2023,2,91
BIH,2023,3,112
BIH,2023,4,98
BIH,2023,5,105
BIH,2023,6,100
BIH,2023,7,120
BIH,2023,8,84
BLR,2022,1,318
BLR,2022,2,232
BLR,2022,3,240
BLR,2022,4,243
BLR,2022,5,271
BLR,2022,6,266
BLR,2022,7,305
BLR,2022,8,276
BLR,2022,9,262
BLR,2022,10,261
BLR,2022,11,241
BLR,2022,12,213
BLR,2023,1,261
BLR,2023,2,242
BLR,2023,3,258
BLR,2023,4,284
BLR,2023,5,254
BLR,2023,6,267
BLR,2023,7,310
BLR,2023,8,207
BLZ,2022,1,17
BLZ,2022,2,26
BLZ,2022,3,61
BLZ,2022,4,18
BLZ,2022,5,27
BLZ,2022,6,18
BLZ,2022,7,22
BLZ,2022,8,18
BLZ,2022,9,17
BLZ,2022,10,18
BLZ,2022,11,31
BLZ,2022,12,25
BLZ,2023,1,29
BLZ,2023,2,26
BLZ,2023,3,26
BLZ,2023,4,26
BLZ,2023,5,10
BLZ,2023,6,20
BLZ,2023,7,20
BLZ,2023,8,14
BMU,2022,1,8
BMU,2022,2,5
BMU,2022,3,5
BMU,2022,4,1
BMU,2022,5,7
BMU,2022,6,2
BMU,2022,7,2
BMU,2022,8,1
BMU,2022,9,7
BMU,2022,10,4
BMU,2022,11,2
BMU,2022,12,3
BMU,2023,1,6
BMU,2023,2,9
BMU,2023,3,5
BMU,2023,4,3
BMU,2023,5,4
BMU,2023,6,7
BMU,2023,7,11
BMU,2023,8,2
