Country Name;Country Code;2022;;
Aruba;ABW;106445;;
Africa Eastern and Southern;AFE;720859132;;
Afghanistan;AFG;41128771;;
Africa Western and Central;AFW;490330870;;
Angola;AGO;35588987;;
Albania;ALB;2777689;;
Andorra;AND;79824;;
Arab World;ARB;464684914;;
United Arab Emirates;ARE;9441129;;
Argentina;ARG;46234830;;
Armenia;ARM;2780469;;
American Samoa;ASM;44273;;
Antigua and Barbuda;ATG;93763;;
Australia;AUS;26005540;;
Austria;AUT;9041851;;
Azerbaijan;AZE;10141756;;
Burundi;BDI;12889576;;
Belgium;BEL;11685814;;
Benin;BEN;13352864;;
Burkina Faso;BFA;22673762;;
Bangladesh;BGD;171186372;;
Bulgaria;BGR;6465097;;
Bahrain;BHR;1472233;;
Bahamas, The;BHS;409984;;
Bosnia and Herzegovina;BIH;3233526;;
Belarus;BLR;9228071;;
Belize;BLZ;405272;;
Bermuda;BMU;63532;;
Bolivia;BOL;12224110;;
Brazil;BRA;215313498;;
Barbados;BRB;281635;;
Brunei Darussalam;BRN;449002;;
Bhutan;BTN;782455;;
Botswana;BWA;2630296;;
Central African Republic;CAF;5579144;;
Canada;CAN;38929902;;
Central Europe and the Baltics;CEB;100108221;;
Switzerland;CHE;8775760;;
Channel Islands;CHI;174079;;
Chile;CHL;19603733;;
China;CHN;1412175000;;
Cote d'Ivoire;CIV;28160542;;
Cameroon;CMR;27914536;;
Congo, Dem. Rep.;COD;99010212;;
Congo, Rep.;COG;5970424;;
Colombia;COL;51874024;;
Comoros;COM;836774;;
Cabo Verde;CPV;593149;;
Costa Rica;CRI;5180829;;
Caribbean small states;CSS;7505478;;
Cuba;CUB;11212191;;
Curacao;CUW;149996;;
Cayman Islands;CYM;68706;;
Cyprus;CYP;1251488;;
Czechia;CZE;10672118;;
Germany;DEU;83797985;;
Djibouti;DJI;1120849;;
Dominica;DMA;72737;;
Denmark;DNK;5903037;;
Dominican Republic;DOM;11228821;;
Algeria;DZA;44903225;;
