,ISO_A3,ai_blds_2024,blds_total,ai_percentage,ai_per_roun,non_ai_blds_2024,total_OSM_users,avg_OSM_users_month,pop_2022,hdi_2021,disaster_death_per_100k,disaster_death,hdi_2021_norm,disaster_death_per_100k_norm,avg_OSM_users_month_norm
0,IDN,313388.0,39804168.0,0.7873245836968631,0.787,39490780.0,15720.0,786.0,275501339.0,0.705,2.540822497,7000.0,0.07950941961862916,-0.17411839907038196,0.8758723025638481
1,MYS,18849.0,1049053.0,1.796763366579191,1.797,1030204.0,4785.0,239.25,33938221.0,0.803,0.409567726,139.0,0.6299926691093618,-0.2987557433753689,-0.011979520075229849
2,CHL,1408.0,674164.0,0.20885125874416313,0.209,672756.0,3961.0,198.05,19603733.0,0.855,2.423007904,475.0,0.9220858219003623,-0.18100828299777513,-0.07888303190464
3,BOL,72868.0,361047.0,20.18241392394896,20.182,288179.0,2011.0,100.55,12224110.0,0.692,2.347819187,287.0,0.006486131420878911,-0.18540537439017687,-0.23721051742326843
4,PER,10860.0,2052082.0,0.5292186179694574,0.529,2041222.0,3581.0,179.05,34049588.0,0.762,1.365655291,465.0,0.39968845248568796,-0.2428430403770742,-0.10973659318519323
5,ARG,15348.0,933554.0,1.6440398734299249,1.644,918206.0,6866.0,343.3,46234830.0,0.842,0.105980708,49.0,0.849062533702612,-0.3165097351570442,0.15698432472695775
7,CYP,1676.0,113414.0,1.477771703669741,1.478,111738.0,1620.0,81.0,1251488.0,0.896,8.390012529,105.0,1.1523900385240362,0.16794652992992554,-0.2689572081093114
8,IND,1019799.0,12960983.0,7.868222649470337,7.868,11941184.0,20209.0,1010.45,1417173173.0,0.633,0.859104606,12175.0,-0.3249272534766024,-0.27246649647127386,1.2403502935859625
11,LBN,53.0,559255.0,0.00947689336706869,0.009,559202.0,3284.0,164.2,5489739.0,0.706,0.32788444,18.0,0.08512659563384073,-0.3035326419328172,-0.13385108713341515
12,ETH,14587.0,1051141.0,1.3877300952013099,1.388,1036554.0,3966.0,198.3,123379924.0,0.498,0.493597321,609.0,-1.0832460155301622,-0.29384163094435745,-0.07847706399305378
13,SSD,50.0,1812557.0,0.002758533938518899,0.003,1812507.0,2736.0,136.8,10913164.0,0.385,0.623100688,68.0,-1.7179869052490675,-0.28626817892864154,-0.17834517024326554
14,SOM,291.0,1122351.0,0.025927717799511918,0.026,1122060.0,2367.0,118.35,17597511.0,0.0,1.954821906,344.0,-3.8805996711055153,-0.20838814401932726,-0.2083056021183291
15,KEN,976089.0,5882471.0,16.593179974877902,16.593,4906382.0,6152.0,307.6,54027487.0,0.575,1.950858829,1054.0,-0.6507234623588728,-0.2086199076729633,0.09901210695244458
16,MWI,9866.0,2619693.0,0.3766090148731168,0.377,2609827.0,5098.0,254.9,20405317.0,0.512,14.64814293,2989.0,-1.0046055513172003,0.5339265920550008,0.013434071190067955
17,TZA,283930.0,14335663.0,1.9805850625813401,1.981,14051733.0,7243.0,362.15,65497748.0,0.549,0.435129464,285.0,-0.7967700387543727,-0.29726087416334834,0.18759430526055917
18,SYR,42992.0,1134145.0,3.790696956738336,3.791,1091153.0,6383.0,319.15,22125249.0,0.577,26.80647797,5931.0,-0.6394891103284497,1.244954954865346,0.11776782446772818
21,SUR,0.0,272893.0,0.0,0.0,272893.0,258.0,12.9,618040.0,0.73,0.0,0.0,0.21993881999891812,-0.3227075647982581,-0.37954286722539954
22,GUY,50.0,240254.0,0.02081130803233245,0.021,240204.0,333.0,16.65,808726.0,0.714,0.0,0.0,0.13006400375553318,-0.3227075647982581,-0.37345334855160617
23,KOR,0.0,813120.0,0.0,0.0,813120.0,4070.0,203.5,51628117.0,0.925,0.36995345,191.0,1.3152881429651713,-0.3010724153304952,-0.07003293143206027
24,PRK,83.0,797569.0,0.010406623126024207,0.01,797486.0,740.0,37.0,26069416.0,0.0,1.001173175,261.0,-3.8805996711055153,-0.26415822221410395,-0.3404075605484873
25,MAR,203970.0,1120364.0,18.20569029351175,18.206,916394.0,2698.0,134.9,37457971.0,0.683,8.033003176,3009.0,-0.04406845271602449,0.14706836076149546,-0.1814305263713209
27,CRI,854.0,164238.0,0.5199771063943789,0.52,163384.0,1646.0,82.3,5180829.0,0.809,0.077207721,4.0,0.6636957252006312,-0.3181924005690819,-0.266846174969063
28,NIC,710.0,189019.0,0.3756236145572667,0.376,188309.0,1091.0,54.55,6948392.0,0.667,0.633240036,44.0,-0.13394326895940942,-0.2856752224107724,-0.31190861315513413
29,COG,149.0,616363.0,0.02417406625641059,0.024,616214.0,699.0,34.95,5970424.0,0.571,65.55648309,3914.0,-0.673192166419719,3.511083714166759,-0.3437364974234944
30,COD,39276.0,6872984.0,0.5714548440677296,0.571,6833708.0,5513.0,275.65,99010212.0,0.479,10.38983736,10287.0,-1.1899723598191816,0.28489775481518786,0.04712940785172473
31,BTN,3564.0,197400.0,1.805471124620061,1.805,193836.0,627.0,31.35,782455.0,0.666,1.278028768,10.0,-0.13956044497462097,-0.24796750379928414,-0.349582435350336
32,UKR,3142.0,6189275.0,0.05076523502348822,0.051,6186133.0,12355.0,617.75,38000000.0,0.773,0.084210526,32.0,0.46147738865301513,-0.31778287138948214,0.6026558980663175
33,BLR,22615.0,2647072.0,0.8543401917288234,0.854,2624457.0,5211.0,260.55,9228071.0,0.808,0.0,0.0,0.6580785491854196,-0.3227075647982581,0.02260894599191669
34,NAM,1053.0,358028.0,0.2941110751114438,0.294,356975.0,1682.0,84.1,2567012.0,0.615,0.0,0.0,-0.42603642175041045,-0.3227075647982581,-0.2639232060056422
35,ZAF,15659.0,2145992.0,0.7296858515781979,0.73,2130333.0,8010.0,400.5,59893885.0,0.713,1.464256326,877.0,0.12444682774032163,-0.2370767794328902,0.24986978289788642
37,OMN,79.0,76115.0,0.10379031728305853,0.104,76036.0,769.0,38.45,4576298.0,0.816,0.764810334,35.0,0.7030159573071115,-0.2779808947521221,-0.3380529466612872
38,UZB,287.0,964348.0,0.02976104062019105,0.03,964061.0,2359.0,117.95,35648100.0,0.727,0.047688376,17.0,0.20308729195328343,-0.319918713545121,-0.20895515077686708
39,KAZ,2314.0,2333765.0,0.0991530852506572,0.099,2331451.0,3452.0,172.6,19621972.0,0.811,0.071348588,14.0,0.6749300772310544,-0.3185350469701534,-0.12021056530411792
40,TJK,41.0,450808.0,0.00909478092669163,0.009,450767.0,0.0,0.0,9952787.0,0.685,0.572703907,57.0,-0.03283410068560137,-0.28921541969536263,-0.40049081146324883
41,LTU,107.0,1753869.0,0.006100797722064761,0.006,1753762.0,2488.0,124.4,2831639.0,0.875,13.63168116,386.0,1.0344293422045934,0.47448316120656064,-0.1984811786579424
42,BRA,261569.0,8726349.0,2.997462054290976,2.997,8464780.0,23440.0,1172.0,215313498.0,0.754,0.469083457,1010.0,0.3547510443639955,-0.2952752197152485,1.5026867580529821
43,URY,20.0,41735.0,0.04792140888942135,0.048,41715.0,816.0,40.8,3422794.0,0.809,0.058431796,2.0,0.6636957252006312,-0.3192904304530321,-0.33423684829237665
44,MNG,73.0,555132.0,0.013150025579501812,0.013,555059.0,1276.0,63.8,3398366.0,0.739,1.41244351,48.0,0.2704934041358221,-0.2401068309664161,-0.29688780042644375
45,RUS,22122.0,24122410.0,0.09170725478921882,0.092,24100288.0,35711.0,1785.55,144236933.0,0.822,0.098449126,142.0,0.7367190133983809,-0.31695018760396343,2.4990132066678994
46,CZE,1242.0,4824895.0,0.025741492820051008,0.026,4823653.0,11123.0,556.15,10672118.0,0.889,2.717361259,290.0,1.1130698064175553,-0.16379428260998993,0.5026254046514711
47,DEU,9201.0,36890499.0,0.0249413812483263,0.025,36881298.0,146001.0,7300.05,83797985.0,0.942,10.01456061,8392.0,1.4107801352237672,0.2629512948537352,11.45385340043689
48,EST,6.0,865061.0,0.0006935927061791019,0.001,865055.0,2016.0,100.8,1348840.0,0.89,12.89997331,174.0,1.1186869824327668,0.43169234873681506,-0.2368045495116822
49,LVA,1370.0,622606.0,0.2200428521408403,0.22,621236.0,2730.0,136.5,1879383.0,0.863,5.586939969,105.0,0.9670232300220547,0.0040207879086394584,-0.17883233173716903
51,SWE,21501.0,2866925.0,0.7499672994584791,0.75,2845424.0,12175.0,608.75,10486941.0,0.947,0.390962436,41.0,1.438866015299825,-0.29984379439919656,0.5880410532492133
53,VNM,1464.0,851631.0,0.17190543791853513,0.172,850167.0,4127.0,206.35,98186856.0,0.703,0.639596811,628.0,0.06827506758820605,-0.2853034735400485,-0.0654048972399773
54,KHM,2870.0,359938.0,0.7973595452550162,0.797,357068.0,1481.0,74.05,16767842.0,0.593,0.524814105,88.0,-0.5496142940850647,-0.2920160504889167,-0.28024311605140845
55,LUX,191.0,198888.0,0.09603394875507823,0.096,198697.0,1786.0,89.3,653103.0,0.93,6.737069038,44.0,1.343374023041229,0.07128118057434905,-0.25547907344464865
56,ARE,396.0,545990.0,0.07252880089378927,0.073,545594.0,2686.0,134.3,9441129.0,0.911,0.0,0.0,1.2366476787522094,-0.3227075647982581,-0.18240484935912782
57,BEL,21.0,6179028.0,0.00033985927883803087,0.0,6179007.0,15207.0,760.35,11685814.0,0.937,24.65382386,2881.0,1.38269425514771,1.1190661614989261,0.8342199948351012
59,MKD,13288.0,90764.0,14.640165704464325,14.64,77476.0,957.0,47.85,2057679.0,0.77,0.048598445,1.0,0.4446258606073804,-0.3198654920416022,-0.32278855318564503
