Country Name;ID_2;Total Deaths;World Bank population 2022;Deaths per 100000
Afghanistan;AFG;5106;41128771;12,4146671
Angola;AGO;220;35588987;0,618168761
Albania;ALB;403;2777689;14,50846369
Argentina;ARG;49;46234830;0,105980708
Armenia;ARM;0;2780469;0
Australia;AUS;84;26005540;0,323008098
Austria;AUT;440;9041851;4,866260238
Burundi;BDI;87;12889576;0,674964017
Belgium;BEL;2881;11685814;24,65382386
Benin;BEN;76;13352864;0,569166285
Burkina Faso;BFA;13;22673762;0,057334994
Bangladesh;BGD;992;171186372;0,579485381
Bulgaria;BGR;1285;6465097;19,87595855
Bahamas, The;BHS;356;409984;86,83265688
Bosnia and Herzegovina;BIH;4;3233526;0,123703969
Belarus;BLR;0;9228071;0
Belize;BLZ;0;405272;0
Bolivia;BOL;287;12224110;2,347819187
Brazil;BRA;1010;215313498;0,469083457
Barbados;BRB;0;281635;0
Bhutan;BTN;10;782455;1,278028768
Botswana;BWA;0;2630296;0
Central African Republic;CAF;70;5579144;1,25467276
Canada;CAN;922;38929902;2,368359417
Cote d'Ivoire;CIV;69;28160542;0,245023693
Cameroon;CMR;454;27914536;1,626392787
Congo, Dem. Rep.;COD;10287;99010212;10,38983736
Congo, Rep.;COG;3914;5970424;65,55648309
Colombia;COL;575;51874024;1,10845459
Comoros;COM;8;836774;0,95605265
Cabo Verde;CPV;1;593149;0,168591703
Costa Rica;CRI;4;5180829;0,077207721
Cuba;CUB;30;11212191;0,267565902
Cyprus;CYP;105;1251488;8,390012529
Czechia;CZE;290;10672118;2,717361259
Germany;DEU;8392;83797985;10,01456061
Djibouti;DJI;21;1120849;1,87357976
Denmark;DNK;253;5903037;4,285929429
Dominican Republic;DOM;82;11228821;0,730263667
Algeria;DZA;203;44903225;0,452083341
Ecuador;ECU;231;18001000;1,283262041
Egypt, Arab Rep.;EGY;43;110990103;0,038742193
Eritrea;ERI;0;3684032;0
Spain;ESP;11404;47778340;23,86855634
Estonia;EST;174;1348840;12,89997331
Ethiopia;ETH;609;123379924;0,493597321
Finland;FIN;225;5556106;4,049598766
Fiji;FJI;23;929766;2,473740705
France;FRA;8236;67971311;12,11687678
Micronesia, Fed. Sts.;FSM;0;114164;0
Gabon;GAB;0;2388992;0
United Kingdom;GBR;6201;66971395;9,259176996
Georgia;GEO;18;3712502;0,484848224
Ghana;GHA;90;33475870;0,268850369
Guinea;GIN;14;13859341;0,101014904
Gambia, The;GMB;20;2705992;0,739100485
Guinea-Bissau;GNB;3;2105566;0,142479504
Equatorial Guinea;GNQ;10;1674908;0,597047718
Greece;GRC;3252;10426919;31,18850353
Guatemala;GTM;872;17357886;5,023653226
Guam;GUM;2;171774;1,164320561
Guyana;GUY;0;808726;0
Hong Kong SAR, China;HKG;2;7346100;0,02722533
Honduras;HND;285;10432860;2,731753326
Croatia;HRV;742;3855600;19,24473493
Haiti;HTI;3252;11584996;28,07079087
Hungary;HUN;692;9643048;7,176154262
Switzerland;CHE;327;8775760;3,726173004
Chile;CHL;475;19603733;2,423007904
China;CHN;2562;1412175000;0,181422274
Indonesia;IDN;7000;275501339;2,540822497
Isle of Man;IMN;0;84519;0
India;IND;12175;1417173173;0,859104606
Ireland;IRL;29;5127170;0,565614169
Iran, Islamic Rep.;IRN;284;88550570;0,320720691
Iraq;IRQ;59;44496122;0,132595825
Iceland;ISL;0;382003;0
Israel;ISR;19;9557500;0,198796756
Italy;ITA;18111;58940425;30,72763727
Jordan;JOR;34;11285869;0,301261693
Japan;JPN;1237;125124989;0,988611476
Kazakhstan;KAZ;14;19621972;0,071348588
Kenya;KEN;1054;54027487;1,950858829
Kyrgyz Republic;KGZ;15;6974900;0,215056847
Cambodia;KHM;88;16767842;0,524814105
Korea, Rep.;KOR;191;51628117;0,36995345
Kuwait;KWT;1;4268873;0,023425387
Lao PDR;LAO;165;7529475;2,191387846
Lebanon;LBN;18;5489739;0,32788444
Liberia;LBR;71;5302681;1,338945337
Libya;LBY;12356;6812341;181,3767103
St. Lucia;LCA;4;179857;2,223989058
Sri Lanka;LKA;163;22181000;0,734863171
Lesotho;LSO;2;2305825;0,086736851
Lithuania;LTU;386;2831639;13,63168116
Luxembourg;LUX;44;653103;6,737069038
Latvia;LVA;105;1879383;5,586939969
Morocco;MAR;3009;37457971;8,033003176
Moldova;MDA;4;2538894;0,157548917
Madagascar;MDG;452;29611714;1,526422955
Maldives;MDV;0;523787;0
Mexico;MEX;380;127504125;0,298029574
Marshall Islands;MHL;0;41569;0
North Macedonia;MKD;1;2057679;0,048598445
Mali;MLI;25;22593590;0,110650853
Malta;MLT;76;531113;14,30957254
Myanmar;MMR;574;54179306;1,059445095
Montenegro;MNE;50;617213;8,100931121
Mongolia;MNG;48;3398366;1,41244351
Northern Mariana Islands;MNP;2;49551;4,036245484
Mozambique;MOZ;1167;32969518;3,539633185
Mauritania;MRT;27;4736139;0,57008462
Mauritius;MUS;4;1262523;0,316825911
Malawi;MWI;2989;20405317;14,64814293
Malaysia;MYS;139;33938221;0,409567726
Namibia;NAM;0;2567012;0
New Caledonia;NCL;0;269220;0
Niger;NER;713;26207977;2,720545733
Nigeria;NGA;6057;218541212;2,771559627
Nicaragua;NIC;44;6948392;0,633240036
Netherlands;NLD;1277;17700982;7,214289015
Norway;NOR;41;5457127;0,751311084
Nepal;NPL;1298;30547580;4,249109095
New Zealand;NZL;37;5124100;0,722078023
Oman;OMN;35;4576298;0,764810334
Pakistan;PAK;3757;235824862;1,593131432
Panama;PAN;95;4408581;2,154888387
Peru;PER;465;34049588;1,365655291
Philippines;PHL;3364;115559009;2,911066847
Palau;PLW;0;18055;0
Papua New Guinea;PNG;250;10142619;2,464846604
Poland;POL;790;36821749;2,145471145
Puerto Rico;PRI;30;3221789;0,931159676
Korea, Dem. People's Rep.;PRK;261;26069416;1,001173175
Portugal;PRT;2219;10409704;21,31664839
Paraguay;PRY;76;6780744;1,12082096
West Bank and Gaza;PSE;7;5043612;0,138789423
Qatar;QAT;0;2695122;0
Romania;ROU;2467;19047009;12,95216483
Russian Federation;RUS;142;144236933;0,098449126
Rwanda;RWA;375;13776698;2,721987518
Saudi Arabia;SAU;23;36408820;0,063171506
Sudan;SDN;637;46874204;1,35895641
Senegal;SEN;17;17316449;0,098172553
Solomon Islands;SLB;48;724273;6,627335273
Sierra Leone;SLE;34;8605718;0,395086151
El Salvador;SLV;104;6336392;1,641312596
Somalia;SOM;344;17597511;1,954821906
Serbia;SRB;577;6664449;8,657880044
South Sudan;SSD;68;10913164;0,623100688
Sao Tome and Principe;STP;8;227380;3,518339344
Suriname;SUR;0;618040;0
Slovak Republic;SVK;368;5431752;6,774977945
Slovenia;SVN;156;2111986;7,386412599
Sweden;SWE;41;10486941;0,390962436
Eswatini;SWZ;0;1201670;0
Syrian Arab Republic;SYR;5931;22125249;26,80647797
Chad;TCD;199;17723315;1,122814778
Togo;TGO;11;8848699;0,12431206
Thailand;THA;113;71697030;0,157607644
Tajikistan;TJK;57;9952787;0,572703907
Timor-Leste;TLS;64;1341296;4,771504575
Tonga;TON;4;106858;3,743285482
Trinidad and Tobago;TTO;0;1531044;0
Tunisia;TUN;23;12356117;0,186142621
Turkiye;TUR;51203;84979913;60,25306239
Tuvalu;TUV;0;11312;0
Tanzania;TZA;285;65497748;0,435129464
Uganda;UGA;2956;47249585;6,256139604
Ukraine;UKR;32;38000000;0,084210526
Uruguay;URY;2;3422794;0,058431796
United States;USA;2620;333287557;0,786107955
Uzbekistan;UZB;17;35648100;0,047688376
St. Vincent and the Grenadines;VCT;8;103948;7,69615577
Venezuela, RB;VEN;211;28301696;0,745538359
Viet Nam;VNM;628;98186856;0,639596811
Vanuatu;VUT;3;326740;0,918161229
Samoa;WSM;83;222382;37,32316464
Yemen, Rep.;YEM;1499;33696614;4,44851818
South Africa;ZAF;877;59893885;1,464256326
Zambia;ZMB;12;20017675;0,059947022
Zimbabwe;ZWE;1529;16320537;9,368564282
